Model,Target,MSE,RMSE,MAE
Modified Autoformer,GHI,236.86764329578085,15.390504972085251,11.134718172501488
Modified Autoformer,DHI,52.13309963126973,7.220325451894099,5.18680429471131
Modified Autoformer,DNI,361.2940897974654,19.00773762964613,13.893086404471726
Modified Autoformer,Wind Speed,0.4496208847402868,0.6705377578781726,0.5311540079613095
DWT-BiLSTM,GHI,307.8772766149082,17.546432019499242,9.206073701946876
DWT-BiLSTM,DHI,200.63824334461845,14.164682959551847,9.09481459433631
DWT-BiLSTM,DNI,463.6408473705929,21.532320993580626,13.10873734746131
DWT-BiLSTM,Wind Speed,0.4686570028791464,0.6845852780181199,0.5732965818452381
MSMVAN,GHI,1463.717397344661,38.258559791825164,28.902077928209824
MSMVAN,DHI,153.3207013633299,12.382273675029554,9.75073948232143
MSMVAN,DNI,1026.7319477962296,32.042658251091304,24.77101102604762
MSMVAN,Wind Speed,0.6575583413824978,0.8108997110509399,0.6636269714663692
